 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_12C.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.309E-01  7.926E-01     258 A        91 A        68 A   
  11.00 keV   7.666E-01  7.714E-01     283 A        98 A        73 A   
  12.00 keV   8.006E-01  7.513E-01     307 A       104 A        78 A   
  13.00 keV   8.333E-01  7.323E-01     330 A       110 A        83 A   
  14.00 keV   8.648E-01  7.143E-01     354 A       116 A        88 A   
  15.00 keV   8.952E-01  6.973E-01     378 A       122 A        93 A   
  16.00 keV   9.245E-01  6.812E-01     402 A       127 A        98 A   
  17.00 keV   9.530E-01  6.659E-01     425 A       133 A       102 A   
  18.00 keV   9.806E-01  6.514E-01     449 A       138 A       107 A   
  20.00 keV   1.034E+00  6.246E-01     495 A       148 A       116 A   
  22.50 keV   1.096E+00  5.944E-01     553 A       160 A       127 A   
  25.00 keV   1.156E+00  5.674E-01     610 A       171 A       138 A   
  27.50 keV   1.212E+00  5.432E-01     666 A       182 A       148 A   
  30.00 keV   1.251E+00  5.213E-01     722 A       192 A       158 A   
  32.50 keV   1.288E+00  5.014E-01     778 A       201 A       168 A   
  35.00 keV   1.326E+00  4.832E-01     833 A       210 A       177 A   
  37.50 keV   1.364E+00  4.665E-01     888 A       219 A       186 A   
  40.00 keV   1.402E+00  4.511E-01     943 A       228 A       195 A   
  45.00 keV   1.476E+00  4.237E-01    1050 A       243 A       212 A   
  50.00 keV   1.547E+00  3.998E-01    1156 A       258 A       229 A   
