 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_70Zn.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.240E-01  2.080E-01     178 A       166 A       125 A   
  11.00 keV   1.301E-01  2.071E-01     195 A       179 A       135 A   
  12.00 keV   1.358E-01  2.060E-01     211 A       192 A       144 A   
  13.00 keV   1.414E-01  2.047E-01     228 A       205 A       153 A   
  14.00 keV   1.467E-01  2.033E-01     245 A       218 A       162 A   
  15.00 keV   1.519E-01  2.018E-01     261 A       230 A       172 A   
  16.00 keV   1.568E-01  2.003E-01     278 A       242 A       181 A   
  17.00 keV   1.617E-01  1.987E-01     295 A       254 A       190 A   
  18.00 keV   1.664E-01  1.971E-01     312 A       266 A       199 A   
  20.00 keV   1.754E-01  1.938E-01     346 A       289 A       217 A   
  22.50 keV   1.860E-01  1.897E-01     389 A       317 A       240 A   
  25.00 keV   1.961E-01  1.857E-01     433 A       345 A       261 A   
  27.50 keV   2.056E-01  1.818E-01     476 A       372 A       283 A   
  30.00 keV   2.207E-01  1.780E-01     520 A       399 A       304 A   
  32.50 keV   2.349E-01  1.744E-01     563 A       424 A       325 A   
  35.00 keV   2.472E-01  1.709E-01     606 A       449 A       345 A   
  37.50 keV   2.580E-01  1.675E-01     649 A       473 A       365 A   
  40.00 keV   2.676E-01  1.643E-01     693 A       496 A       385 A   
  45.00 keV   2.842E-01  1.582E-01     779 A       541 A       423 A   
  50.00 keV   2.986E-01  1.526E-01     867 A       585 A       460 A   
