 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_C.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.219E-01  9.884E-01     222 A        78 A        58 A   
  11.00 keV   8.620E-01  9.658E-01     242 A        84 A        63 A   
  12.00 keV   9.003E-01  9.441E-01     263 A        89 A        67 A   
  13.00 keV   9.371E-01  9.233E-01     283 A        95 A        71 A   
  14.00 keV   9.725E-01  9.034E-01     303 A       100 A        75 A   
  15.00 keV   1.007E+00  8.844E-01     323 A       105 A        79 A   
  16.00 keV   1.040E+00  8.663E-01     342 A       109 A        83 A   
  17.00 keV   1.072E+00  8.490E-01     362 A       114 A        87 A   
  18.00 keV   1.103E+00  8.324E-01     382 A       119 A        91 A   
  20.00 keV   1.162E+00  8.014E-01     421 A       128 A        99 A   
  22.50 keV   1.233E+00  7.661E-01     470 A       138 A       108 A   
  25.00 keV   1.300E+00  7.343E-01     518 A       148 A       117 A   
  27.50 keV   1.363E+00  7.054E-01     566 A       157 A       126 A   
  30.00 keV   1.424E+00  6.791E-01     613 A       166 A       134 A   
  32.50 keV   1.455E+00  6.550E-01     660 A       174 A       143 A   
  35.00 keV   1.494E+00  6.328E-01     706 A       183 A       151 A   
  37.50 keV   1.536E+00  6.124E-01     753 A       190 A       158 A   
  40.00 keV   1.580E+00  5.934E-01     799 A       198 A       166 A   
  45.00 keV   1.668E+00  5.593E-01     891 A       212 A       181 A   
  50.00 keV   1.752E+00  5.296E-01     981 A       225 A       195 A   
