 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_LiF.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.568E-01  8.154E-01     251 A       106 A        75 A   
  11.00 keV   3.742E-01  7.969E-01     276 A       115 A        81 A   
  12.00 keV   3.909E-01  7.792E-01     301 A       123 A        88 A   
  13.00 keV   4.068E-01  7.622E-01     326 A       132 A        94 A   
  14.00 keV   4.222E-01  7.460E-01     352 A       140 A       100 A   
  15.00 keV   4.370E-01  7.305E-01     377 A       149 A       106 A   
  16.00 keV   4.514E-01  7.158E-01     403 A       157 A       113 A   
  17.00 keV   4.653E-01  7.016E-01     429 A       165 A       119 A   
  18.00 keV   4.787E-01  6.881E-01     455 A       173 A       125 A   
  20.00 keV   5.046E-01  6.629E-01     507 A       189 A       138 A   
  22.50 keV   5.353E-01  6.342E-01     573 A       209 A       153 A   
  25.00 keV   5.642E-01  6.082E-01     639 A       227 A       169 A   
  27.50 keV   5.918E-01  5.847E-01     705 A       246 A       184 A   
  30.00 keV   6.181E-01  5.632E-01     771 A       263 A       199 A   
  32.50 keV   6.155E-01  5.435E-01     839 A       281 A       214 A   
  35.00 keV   6.245E-01  5.254E-01     907 A       298 A       229 A   
  37.50 keV   6.409E-01  5.086E-01     977 A       316 A       244 A   
  40.00 keV   6.618E-01  4.931E-01    1046 A       332 A       259 A   
  45.00 keV   7.097E-01  4.652E-01    1185 A       365 A       288 A   
