 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_LiF.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.600E-01  9.476E-01     225 A        97 A        68 A   
  11.00 keV   3.776E-01  9.287E-01     247 A       105 A        74 A   
  12.00 keV   3.944E-01  9.104E-01     269 A       113 A        80 A   
  13.00 keV   4.105E-01  8.927E-01     292 A       121 A        86 A   
  14.00 keV   4.260E-01  8.756E-01     314 A       129 A        91 A   
  15.00 keV   4.410E-01  8.592E-01     337 A       137 A        97 A   
  16.00 keV   4.554E-01  8.434E-01     360 A       144 A       103 A   
  17.00 keV   4.694E-01  8.282E-01     383 A       152 A       108 A   
  18.00 keV   4.831E-01  8.136E-01     406 A       160 A       114 A   
  20.00 keV   5.092E-01  7.860E-01     452 A       175 A       125 A   
  22.50 keV   5.401E-01  7.545E-01     511 A       193 A       140 A   
  25.00 keV   5.693E-01  7.257E-01     569 A       210 A       154 A   
  27.50 keV   5.971E-01  6.994E-01     629 A       228 A       168 A   
  30.00 keV   6.236E-01  6.752E-01     688 A       245 A       182 A   
  32.50 keV   6.151E-01  6.530E-01     749 A       261 A       195 A   
  35.00 keV   6.180E-01  6.324E-01     811 A       279 A       209 A   
  37.50 keV   6.284E-01  6.133E-01     875 A       296 A       223 A   
  40.00 keV   6.437E-01  5.955E-01     938 A       312 A       237 A   
  45.00 keV   6.820E-01  5.634E-01    1067 A       345 A       264 A   
