 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_C.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
--------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.293E-01  1.149E+00     202 A        74 A        54 A   
  11.00 keV   8.698E-01  1.126E+00     220 A        79 A        58 A   
  12.00 keV   9.084E-01  1.103E+00     239 A        84 A        62 A   
  13.00 keV   9.455E-01  1.082E+00     257 A        89 A        66 A   
  14.00 keV   9.812E-01  1.061E+00     275 A        94 A        70 A   
  15.00 keV   1.016E+00  1.041E+00     293 A        99 A        74 A   
  16.00 keV   1.049E+00  1.021E+00     311 A       103 A        78 A   
  17.00 keV   1.081E+00  1.003E+00     329 A       108 A        81 A   
  18.00 keV   1.113E+00  9.847E-01     347 A       112 A        85 A   
  20.00 keV   1.173E+00  9.509E-01     383 A       121 A        92 A   
  22.50 keV   1.244E+00  9.122E-01     427 A       131 A       101 A   
  25.00 keV   1.311E+00  8.769E-01     472 A       141 A       110 A   
  27.50 keV   1.375E+00  8.446E-01     515 A       150 A       118 A   
  30.00 keV   1.436E+00  8.149E-01     559 A       159 A       126 A   
  32.50 keV   1.454E+00  7.877E-01     602 A       168 A       134 A   
  35.00 keV   1.478E+00  7.625E-01     646 A       176 A       142 A   
  37.50 keV   1.506E+00  7.391E-01     690 A       184 A       149 A   
  40.00 keV   1.537E+00  7.173E-01     734 A       192 A       157 A   
  45.00 keV   1.603E+00  6.781E-01     822 A       207 A       172 A   
  50.00 keV   1.672E+00  6.435E-01     909 A       222 A       186 A   
