 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_12C.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.032E-01  1.190E+00     202 A        72 A        53 A   
  11.00 keV   8.424E-01  1.167E+00     220 A        77 A        57 A   
  12.00 keV   8.798E-01  1.144E+00     238 A        82 A        61 A   
  13.00 keV   9.157E-01  1.123E+00     257 A        87 A        65 A   
  14.00 keV   9.503E-01  1.101E+00     275 A        92 A        69 A   
  15.00 keV   9.837E-01  1.081E+00     293 A        97 A        73 A   
  16.00 keV   1.016E+00  1.061E+00     311 A       102 A        76 A   
  17.00 keV   1.047E+00  1.043E+00     329 A       106 A        80 A   
  18.00 keV   1.078E+00  1.024E+00     347 A       111 A        84 A   
  20.00 keV   1.136E+00  9.899E-01     383 A       119 A        91 A   
  22.50 keV   1.205E+00  9.503E-01     428 A       129 A        99 A   
  25.00 keV   1.270E+00  9.142E-01     472 A       139 A       108 A   
  27.50 keV   1.332E+00  8.811E-01     516 A       148 A       116 A   
  30.00 keV   1.391E+00  8.507E-01     560 A       157 A       124 A   
  32.50 keV   1.439E+00  8.226E-01     603 A       166 A       132 A   
  35.00 keV   1.457E+00  7.967E-01     647 A       174 A       140 A   
  37.50 keV   1.480E+00  7.726E-01     691 A       182 A       147 A   
  40.00 keV   1.506E+00  7.501E-01     735 A       190 A       155 A   
  45.00 keV   1.565E+00  7.096E-01     823 A       205 A       170 A   
  50.00 keV   1.629E+00  6.739E-01     911 A       220 A       184 A   
