 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_70Zn.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.363E-01  3.019E-01     141 A       130 A        99 A   
  11.00 keV   1.429E-01  3.022E-01     153 A       140 A       106 A   
  12.00 keV   1.493E-01  3.021E-01     165 A       149 A       113 A   
  13.00 keV   1.554E-01  3.017E-01     178 A       159 A       120 A   
  14.00 keV   1.612E-01  3.010E-01     190 A       169 A       127 A   
  15.00 keV   1.669E-01  3.001E-01     203 A       179 A       134 A   
  16.00 keV   1.724E-01  2.991E-01     216 A       188 A       141 A   
  17.00 keV   1.777E-01  2.979E-01     228 A       198 A       148 A   
  18.00 keV   1.828E-01  2.966E-01     241 A       207 A       154 A   
  20.00 keV   1.927E-01  2.937E-01     266 A       225 A       168 A   
  22.50 keV   2.044E-01  2.898E-01     298 A       247 A       185 A   
  25.00 keV   2.154E-01  2.857E-01     331 A       269 A       201 A   
  27.50 keV   2.260E-01  2.815E-01     363 A       290 A       217 A   
  30.00 keV   2.360E-01  2.772E-01     396 A       311 A       234 A   
  32.50 keV   2.466E-01  2.731E-01     429 A       332 A       250 A   
  35.00 keV   2.595E-01  2.689E-01     462 A       352 A       266 A   
  37.50 keV   2.708E-01  2.649E-01     494 A       372 A       281 A   
  40.00 keV   2.808E-01  2.609E-01     527 A       391 A       297 A   
  45.00 keV   2.982E-01  2.533E-01     594 A       429 A       328 A   
  50.00 keV   3.132E-01  2.460E-01     661 A       466 A       357 A   
