 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_LiF.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.911E-01  1.226E+00     203 A        83 A        58 A   
  11.00 keV   3.053E-01  1.208E+00     222 A        90 A        63 A   
  12.00 keV   3.189E-01  1.189E+00     242 A        97 A        68 A   
  13.00 keV   3.319E-01  1.171E+00     262 A       103 A        73 A   
  14.00 keV   3.445E-01  1.153E+00     282 A       110 A        77 A   
  15.00 keV   3.566E-01  1.136E+00     302 A       117 A        82 A   
  16.00 keV   3.683E-01  1.118E+00     322 A       124 A        87 A   
  17.00 keV   3.796E-01  1.102E+00     342 A       131 A        92 A   
  18.00 keV   3.906E-01  1.086E+00     363 A       137 A        96 A   
  20.00 keV   4.117E-01  1.054E+00     404 A       151 A       106 A   
  22.50 keV   4.367E-01  1.018E+00     457 A       167 A       118 A   
  25.00 keV   4.603E-01  9.845E-01     510 A       184 A       130 A   
  27.50 keV   4.828E-01  9.533E-01     564 A       200 A       142 A   
  30.00 keV   5.043E-01  9.243E-01     619 A       216 A       154 A   
  32.50 keV   5.249E-01  8.972E-01     674 A       231 A       166 A   
  35.00 keV   5.447E-01  8.719E-01     729 A       247 A       178 A   
  37.50 keV   5.638E-01  8.483E-01     785 A       262 A       191 A   
  40.00 keV   5.947E-01  8.261E-01     841 A       277 A       203 A   
  45.00 keV   6.431E-01  7.856E-01     954 A       306 A       227 A   
