 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_natC.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.706E-01  1.474E+00     189 A        66 A        49 A   
  11.00 keV   7.033E-01  1.452E+00     206 A        71 A        53 A   
  12.00 keV   7.346E-01  1.430E+00     223 A        76 A        56 A   
  13.00 keV   7.646E-01  1.408E+00     241 A        81 A        60 A   
  14.00 keV   7.934E-01  1.386E+00     258 A        85 A        63 A   
  15.00 keV   8.213E-01  1.365E+00     275 A        90 A        67 A   
  16.00 keV   8.482E-01  1.344E+00     292 A        94 A        70 A   
  17.00 keV   8.743E-01  1.324E+00     309 A        99 A        74 A   
  18.00 keV   8.997E-01  1.305E+00     326 A       103 A        77 A   
  20.00 keV   9.483E-01  1.267E+00     361 A       112 A        84 A   
  22.50 keV   1.006E+00  1.223E+00     403 A       122 A        92 A   
  25.00 keV   1.060E+00  1.182E+00     446 A       132 A       100 A   
  27.50 keV   1.112E+00  1.144E+00     489 A       142 A       108 A   
  30.00 keV   1.161E+00  1.109E+00     532 A       151 A       116 A   
  32.50 keV   1.209E+00  1.076E+00     575 A       161 A       124 A   
  35.00 keV   1.255E+00  1.045E+00     618 A       169 A       132 A   
  37.50 keV   1.299E+00  1.017E+00     660 A       178 A       140 A   
  40.00 keV   1.395E+00  9.898E-01     702 A       186 A       147 A   
  45.00 keV   1.540E+00  9.407E-01     784 A       201 A       162 A   
  50.00 keV   1.622E+00  8.970E-01     863 A       215 A       176 A   
