 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19Ne_LiF.txt

 Ion = Neon [10] , Mass = 19.002 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.678E-01  1.367E+00     188 A        78 A        55 A   
  11.00 keV   2.808E-01  1.350E+00     206 A        85 A        60 A   
  12.00 keV   2.933E-01  1.332E+00     224 A        91 A        64 A   
  13.00 keV   3.053E-01  1.314E+00     242 A        98 A        69 A   
  14.00 keV   3.168E-01  1.296E+00     260 A       104 A        73 A   
  15.00 keV   3.279E-01  1.278E+00     279 A       111 A        77 A   
  16.00 keV   3.387E-01  1.261E+00     298 A       117 A        82 A   
  17.00 keV   3.491E-01  1.244E+00     316 A       124 A        86 A   
  18.00 keV   3.592E-01  1.227E+00     335 A       130 A        91 A   
  20.00 keV   3.787E-01  1.195E+00     374 A       143 A       100 A   
  22.50 keV   4.016E-01  1.157E+00     422 A       159 A       111 A   
  25.00 keV   4.234E-01  1.122E+00     471 A       175 A       122 A   
  27.50 keV   4.440E-01  1.088E+00     521 A       190 A       134 A   
  30.00 keV   4.638E-01  1.057E+00     572 A       206 A       145 A   
  32.50 keV   4.827E-01  1.028E+00     623 A       221 A       157 A   
  35.00 keV   5.009E-01  1.001E+00     675 A       236 A       168 A   
  37.50 keV   5.185E-01  9.752E-01     727 A       252 A       180 A   
  40.00 keV   5.401E-01  9.510E-01     780 A       266 A       191 A   
  45.00 keV   5.855E-01  9.066E-01     886 A       295 A       215 A   
