 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19Ne_natC.txt

 Ion = Neon [10] , Mass = 19.002 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.167E-01  1.644E+00     178 A        64 A        47 A   
  11.00 keV   6.468E-01  1.623E+00     194 A        69 A        51 A   
  12.00 keV   6.756E-01  1.601E+00     210 A        73 A        54 A   
  13.00 keV   7.032E-01  1.580E+00     226 A        78 A        57 A   
  14.00 keV   7.297E-01  1.558E+00     242 A        83 A        61 A   
  15.00 keV   7.553E-01  1.537E+00     259 A        87 A        64 A   
  16.00 keV   7.801E-01  1.516E+00     275 A        92 A        68 A   
  17.00 keV   8.041E-01  1.495E+00     291 A        96 A        71 A   
  18.00 keV   8.274E-01  1.475E+00     307 A       101 A        74 A   
  20.00 keV   8.722E-01  1.436E+00     340 A       109 A        81 A   
  22.50 keV   9.251E-01  1.390E+00     381 A       120 A        89 A   
  25.00 keV   9.751E-01  1.347E+00     422 A       130 A        97 A   
  27.50 keV   1.023E+00  1.307E+00     463 A       140 A       105 A   
  30.00 keV   1.068E+00  1.269E+00     504 A       150 A       113 A   
  32.50 keV   1.112E+00  1.234E+00     545 A       159 A       121 A   
  35.00 keV   1.154E+00  1.200E+00     586 A       168 A       129 A   
  37.50 keV   1.194E+00  1.169E+00     627 A       177 A       136 A   
  40.00 keV   1.267E+00  1.140E+00     668 A       186 A       144 A   
  45.00 keV   1.402E+00  1.086E+00     748 A       202 A       159 A   
  50.00 keV   1.509E+00  1.038E+00     827 A       217 A       173 A   
