 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> November 17, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_26Mg.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7366E+00 g/cm3 = 4.0249E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.044E-01  3.895E-03    1905 A       693 A       662 A   
  11.00 keV   3.169E-01  3.678E-03    2059 A       716 A       693 A   
  12.00 keV   3.284E-01  3.487E-03    2209 A       737 A       721 A   
  13.00 keV   3.392E-01  3.317E-03    2356 A       757 A       748 A   
  14.00 keV   3.491E-01  3.166E-03    2501 A       775 A       774 A   
  15.00 keV   3.584E-01  3.029E-03    2642 A       792 A       798 A   
  16.00 keV   3.670E-01  2.906E-03    2782 A       807 A       820 A   
  17.00 keV   3.750E-01  2.793E-03    2919 A       822 A       842 A   
  18.00 keV   3.825E-01  2.690E-03    3054 A       836 A       863 A   
  20.00 keV   3.959E-01  2.508E-03    3320 A       861 A       902 A   
  22.50 keV   4.102E-01  2.316E-03    3643 A       891 A       948 A   
  25.00 keV   4.222E-01  2.155E-03    3960 A       917 A       989 A   
  27.50 keV   4.322E-01  2.017E-03    4271 A       940 A      1029 A   
  30.00 keV   4.405E-01  1.897E-03    4577 A       962 A      1065 A   
  32.50 keV   4.473E-01  1.793E-03    4880 A       983 A      1100 A   
  35.00 keV   4.530E-01  1.701E-03    5180 A      1002 A      1134 A   
  37.50 keV   4.575E-01  1.618E-03    5478 A      1020 A      1166 A   
  40.00 keV   4.611E-01  1.545E-03    5775 A      1037 A      1197 A   
  45.00 keV   4.659E-01  1.417E-03    6365 A      1070 A      1256 A   
