 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> décembre 01. 2010 
 ==================================================================

 Ion = Hydrogen [1] . Mass = 1.008 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.797E-01  4.085E-03    1277 A       501 A       471 A   
  11.00 keV   2.924E-01  3.861E-03    1382 A       518 A       493 A   
  12.00 keV   3.044E-01  3.664E-03    1484 A       534 A       514 A   
  13.00 keV   3.155E-01  3.489E-03    1583 A       549 A       534 A   
  14.00 keV   3.260E-01  3.332E-03    1681 A       563 A       552 A   
  15.00 keV   3.359E-01  3.190E-03    1776 A       575 A       570 A   
  16.00 keV   3.451E-01  3.062E-03    1869 A       587 A       586 A   
  17.00 keV   3.537E-01  2.945E-03    1961 A       598 A       602 A   
  18.00 keV   3.618E-01  2.838E-03    2052 A       608 A       617 A   
  20.00 keV   3.766E-01  2.648E-03    2229 A       628 A       645 A   
  22.50 keV   3.925E-01  2.448E-03    2444 A       649 A       678 A   
  25.00 keV   4.062E-01  2.279E-03    2653 A       668 A       708 A   
  27.50 keV   4.178E-01  2.135E-03    2858 A       685 A       735 A   
  30.00 keV   4.276E-01  2.010E-03    3059 A       701 A       761 A   
  32.50 keV   4.360E-01  1.900E-03    3257 A       716 A       786 A   
  35.00 keV   4.430E-01  1.803E-03    3453 A       729 A       809 A   
  37.50 keV   4.489E-01  1.717E-03    3647 A       742 A       831 A   
  40.00 keV   4.538E-01  1.639E-03    3839 A       754 A       852 A   
  45.00 keV   4.612E-01  1.505E-03    4220 A       777 A       893 A   
