 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.686E-01  4.560E-03    2044 A       793 A       749 A   
  11.00 keV   2.811E-01  4.302E-03    2214 A       822 A       786 A   
  12.00 keV   2.929E-01  4.076E-03    2378 A       848 A       820 A   
  13.00 keV   3.041E-01  3.876E-03    2539 A       873 A       852 A   
  14.00 keV   3.149E-01  3.698E-03    2696 A       895 A       882 A   
  15.00 keV   3.252E-01  3.537E-03    2849 A       915 A       911 A   
  16.00 keV   3.350E-01  3.391E-03    2999 A       935 A       937 A   
  17.00 keV   3.443E-01  3.259E-03    3146 A       953 A       963 A   
  18.00 keV   3.532E-01  3.138E-03    3291 A       969 A       987 A   
  20.00 keV   3.699E-01  2.924E-03    3572 A      1000 A      1032 A   
  22.50 keV   3.888E-01  2.699E-03    3911 A      1034 A      1084 A   
  25.00 keV   4.057E-01  2.510E-03    4239 A      1064 A      1131 A   
  27.50 keV   4.208E-01  2.349E-03    4557 A      1091 A      1174 A   
  30.00 keV   4.344E-01  2.209E-03    4867 A      1116 A      1213 A   
  32.50 keV   4.466E-01  2.087E-03    5170 A      1138 A      1251 A   
  35.00 keV   4.575E-01  1.979E-03    5467 A      1158 A      1285 A   
  37.50 keV   4.674E-01  1.883E-03    5758 A      1177 A      1318 A   
