 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 12, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_Gou.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.4115E+00 g/cm3 = 5.3576E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    017.75    015.92   
     Al     13    029.23    029.10   
     Si     14    028.44    029.47   
     Ti     22    008.69    015.36   
     Fe     26    000.53    001.09   
      O      8    015.35    009.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.787E-01  4.095E-03    1419 A       566 A       529 A   
  11.00 keV   2.913E-01  3.872E-03    1536 A       587 A       555 A   
  12.00 keV   3.034E-01  3.675E-03    1649 A       605 A       579 A   
  13.00 keV   3.148E-01  3.500E-03    1760 A       623 A       601 A   
  14.00 keV   3.256E-01  3.344E-03    1869 A       638 A       622 A   
  15.00 keV   3.358E-01  3.203E-03    1975 A       653 A       642 A   
  16.00 keV   3.455E-01  3.075E-03    2079 A       667 A       661 A   
  17.00 keV   3.546E-01  2.958E-03    2181 A       679 A       679 A   
  18.00 keV   3.633E-01  2.851E-03    2282 A       691 A       696 A   
  20.00 keV   3.791E-01  2.661E-03    2478 A       713 A       728 A   
  22.50 keV   3.964E-01  2.461E-03    2716 A       738 A       765 A   
  25.00 keV   4.113E-01  2.292E-03    2947 A       760 A       798 A   
  27.50 keV   4.241E-01  2.148E-03    3172 A       780 A       829 A   
  30.00 keV   4.351E-01  2.023E-03    3393 A       798 A       859 A   
  32.50 keV   4.445E-01  1.913E-03    3610 A       814 A       886 A   
  35.00 keV   4.525E-01  1.816E-03    3825 A       830 A       912 A   
  37.50 keV   4.593E-01  1.729E-03    4037 A       844 A       937 A   
