 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI_rho3.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.0000E+00 g/cm3 = 8.1826E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.686E-01  4.560E-03    1181 A       458 A       433 A   
  11.00 keV   2.811E-01  4.302E-03    1278 A       475 A       454 A   
  12.00 keV   2.929E-01  4.076E-03    1374 A       490 A       474 A   
  13.00 keV   3.041E-01  3.876E-03    1466 A       504 A       492 A   
  14.00 keV   3.149E-01  3.698E-03    1557 A       517 A       510 A   
  15.00 keV   3.252E-01  3.537E-03    1645 A       529 A       526 A   
  16.00 keV   3.350E-01  3.391E-03    1732 A       540 A       541 A   
  17.00 keV   3.443E-01  3.259E-03    1817 A       550 A       556 A   
  18.00 keV   3.532E-01  3.138E-03    1900 A       560 A       570 A   
  20.00 keV   3.699E-01  2.924E-03    2063 A       578 A       596 A   
  22.50 keV   3.888E-01  2.699E-03    2259 A       597 A       626 A   
  25.00 keV   4.057E-01  2.510E-03    2448 A       615 A       653 A   
  27.50 keV   4.208E-01  2.349E-03    2632 A       630 A       678 A   
  30.00 keV   4.344E-01  2.209E-03    2811 A       644 A       701 A   
  32.50 keV   4.466E-01  2.087E-03    2986 A       657 A       722 A   
  35.00 keV   4.575E-01  1.979E-03    3157 A       669 A       742 A   
  37.50 keV   4.674E-01  1.883E-03    3326 A       680 A       761 A   
