 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_CAI.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.352E-01  4.867E-02    1409 A       757 A       636 A   
  11.00 keV   2.471E-01  4.644E-02    1545 A       803 A       681 A   
  12.00 keV   2.585E-01  4.445E-02    1679 A       847 A       724 A   
  13.00 keV   2.696E-01  4.264E-02    1811 A       887 A       765 A   
  14.00 keV   2.802E-01  4.101E-02    1942 A       926 A       804 A   
  15.00 keV   2.906E-01  3.951E-02    2071 A       962 A       842 A   
  16.00 keV   3.008E-01  3.814E-02    2199 A       996 A       879 A   
  17.00 keV   3.107E-01  3.687E-02    2324 A      1029 A       914 A   
  18.00 keV   3.203E-01  3.570E-02    2448 A      1060 A       947 A   
  20.00 keV   3.390E-01  3.361E-02    2692 A      1118 A      1012 A   
  22.50 keV   3.614E-01  3.135E-02    2988 A      1182 A      1086 A   
  25.00 keV   3.827E-01  2.943E-02    3275 A      1241 A      1155 A   
  27.50 keV   4.031E-01  2.776E-02    3554 A      1293 A      1218 A   
  30.00 keV   4.226E-01  2.629E-02    3825 A      1341 A      1277 A   
  32.50 keV   4.414E-01  2.499E-02    4089 A      1385 A      1333 A   
  35.00 keV   4.595E-01  2.383E-02    4346 A      1425 A      1385 A   
  37.50 keV   4.770E-01  2.279E-02    4597 A      1462 A      1433 A   
