 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 19, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_natMg.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.238E-01  4.734E-02    1203 A       597 A       508 A   
  11.00 keV   3.385E-01  4.522E-02    1313 A       629 A       540 A   
  12.00 keV   3.524E-01  4.332E-02    1421 A       659 A       571 A   
  13.00 keV   3.657E-01  4.159E-02    1529 A       687 A       600 A   
  14.00 keV   3.784E-01  4.002E-02    1634 A       713 A       629 A   
  15.00 keV   3.907E-01  3.858E-02    1739 A       738 A       656 A   
  16.00 keV   4.025E-01  3.726E-02    1842 A       762 A       682 A   
  17.00 keV   4.139E-01  3.604E-02    1944 A       784 A       707 A   
  18.00 keV   4.250E-01  3.492E-02    2045 A       806 A       731 A   
  20.00 keV   4.460E-01  3.289E-02    2242 A       845 A       777 A   
  22.50 keV   4.708E-01  3.071E-02    2483 A       890 A       831 A   
  25.00 keV   4.940E-01  2.884E-02    2718 A       931 A       881 A   
  27.50 keV   5.159E-01  2.721E-02    2946 A       967 A       927 A   
  30.00 keV   5.367E-01  2.579E-02    3169 A      1001 A       970 A   
  32.50 keV   5.565E-01  2.452E-02    3387 A      1032 A      1011 A   
  35.00 keV   5.754E-01  2.339E-02    3600 A      1060 A      1049 A   
  37.50 keV   5.935E-01  2.238E-02    3808 A      1087 A      1085 A   
  40.00 keV   6.109E-01  2.146E-02    4013 A      1111 A      1120 A   
  45.00 keV   6.438E-01  1.985E-02    4410 A      1156 A      1184 A   
