 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 17, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\60Fe_CD2.txt

 Ion = Iron [26] , Mass = 59.934 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0476E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.701E-01  5.288E+00     245 A        53 A        43 A   
  11.00 keV   5.979E-01  5.367E+00     262 A        56 A        45 A   
  12.00 keV   6.245E-01  5.434E+00     278 A        59 A        48 A   
  13.00 keV   6.500E-01  5.492E+00     294 A        62 A        50 A   
  14.00 keV   6.745E-01  5.542E+00     310 A        64 A        53 A   
  15.00 keV   6.982E-01  5.586E+00     326 A        67 A        55 A   
  16.00 keV   7.211E-01  5.623E+00     342 A        70 A        58 A   
  17.00 keV   7.433E-01  5.656E+00     357 A        73 A        60 A   
  18.00 keV   7.648E-01  5.684E+00     373 A        75 A        62 A   
  20.00 keV   8.062E-01  5.729E+00     403 A        81 A        67 A   
  22.50 keV   8.551E-01  5.770E+00     441 A        87 A        72 A   
  25.00 keV   9.013E-01  5.795E+00     479 A        93 A        78 A   
  27.50 keV   9.453E-01  5.810E+00     516 A        99 A        83 A   
  30.00 keV   9.874E-01  5.816E+00     553 A       105 A        88 A   
  32.50 keV   1.028E+00  5.815E+00     589 A       111 A        93 A   
  35.00 keV   1.066E+00  5.809E+00     626 A       117 A        98 A   
  37.50 keV   1.104E+00  5.798E+00     662 A       123 A       103 A   
  40.00 keV   1.140E+00  5.784E+00     698 A       129 A       108 A   
  45.00 keV   1.209E+00  5.747E+00     771 A       140 A       118 A   
