============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.8 MeV) ==> Polyethylene( 7527 A) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1306  9 .1267868E+08   7549670E-03 -.2114E+01  .9859E+01   .9999951 -.0006346  .0030633
T 1307  9 .1268846E+08   7531906E-03  .2570E+00  .5614E+01   .9999989 -.0002925  .0014730
T 1308  9 .1267366E+08   7568156E-03  .8644E+01 -.3635E+01   .9999957  .0028964 -.0003787
T 1309  9 .1270414E+08   7537310E-03  .9781E+01  .9265E+01   .9999993  .0007922  .0009315
T 1310  9 .1268738E+08   7550661E-03  .1467E+02  .3843E+01   .9999952  .0022437  .0021229
T 1311  9 .1267709E+08   7559107E-03 -.5687E+01  .2363E+01   .9999924 -.0023031  .0031444
T 1312  9 .1269097E+08   7530689E-03 -.1437E+02  .1833E+02   .9999913 -.0030396  .0028686
T 1313  9 .1265788E+08   7530012E-03 -.3184E+01  .1197E+02   .9999961 -.0010569  .0025662
T 1314  9 .1270793E+08   7542848E-03 -.1074E+02  .4320E+01   .9999830 -.0049688  .0030496
T 1315  9 .1267548E+08   7591738E-03 -.6974E+01  .1683E+01   .9999994 -.0008846  .0005876
T 1316  9 .1267145E+08   7539082E-03 -.8545E+01  .2347E+02   .9999994 -.0007257  .0008279
T 1317  9 .1269480E+08   7569890E-03  .1505E+02  .1683E+01   .9999913  .0034485  .0023518
T 1318  9 .1275202E+08   7580148E-03  .5411E+01 -.2667E+01   .9999845  .0052299 -.0019167
T 1319  9 .1268499E+08   7565910E-03  .1278E+01  .7502E+01   .9999978  .0013409  .0016239
T 1320  9 .1269583E+08   7572533E-03  .2143E+02 -.2469E+02   .9999553  .0059845 -.0073226
T 1321  9 .1270553E+08   7529411E-03 -.3788E+01  .7077E+01   .9999988 -.0009408 -.0011929
T 1322  9 .1270509E+08   7530357E-03  .1142E+02 -.1388E+01   .9999950  .0009118 -.0030317
T 1323  9 .1270466E+08   7533721E-03  .4652E+01  .4414E+01   .9999968  .0008440  .0023760
T 1324  9 .1266718E+08   7528354E-03 -.1215E+02 -.1606E+02   .9999639 -.0066227 -.0053226
T 1325  9 .1270656E+08   7538181E-03 -.7296E+01 -.2335E+01   .9999973 -.0018810 -.0013377
T 1326  9 .1272717E+08   7539850E-03 -.4200E+01 -.3755E+01   .9999989 -.0011132  .0009901
T 1327  9 .1272320E+08   7558653E-03 -.9669E+01 -.1012E+01   .9999942 -.0033685 -.0005613
T 1328  9 .1266373E+08   7540142E-03 -.1204E+02  .2182E+01   .9999962 -.0025684  .0009904
T 1329  9 .1266172E+08   7584508E-03  .6863E+01  .1310E+02   .9999979  .0019640  .0006601
T 1330  9 .1274381E+08   7543709E-03  .4785E+02 -.2287E+00   .9999460  .0103207  .0012224
T 1331  9 .1269012E+08   7533518E-03  .8130E+01  .1837E+02   .9999861  .0012923  .0051074
T 1332  9 .1268604E+08   7567892E-03 -.1162E+02  .4279E+01   .9999982 -.0018175  .0004662
T 1333  9 .1269876E+08   7554045E-03  .5374E+01 -.4959E+01   .9999976  .0005498 -.0021037
T 1334  9 .1271107E+08   7566776E-03 -.8268E+01  .8013E+01   .9999768  .0064425 -.0022298
T 1335  9 .1270952E+08   7531488E-03 -.7009E+01  .8914E+01   .9999962 -.0023132  .0014807
T 1336  9 .1269023E+08   7544054E-03 -.7015E+01 -.4126E+01   .9999978 -.0019826 -.0006968
T 1337  9 .1267922E+08   7557391E-03 -.1677E+02  .1617E+01   .9999827 -.0057607  .0012032
T 1338  9 .1266341E+08   7542241E-03  .3661E+02  .1382E+02   .9999840  .0048450  .0029143
T 1339  9 .1271266E+08   7535323E-03 -.2520E+02 -.2226E+02   .9999821 -.0026682 -.0053481
T 1340  9 .1267028E+08   7573215E-03 -.3931E+00 -.6361E+01   .9999983  .0004372 -.0017632
T 1341  9 .1268538E+08   7531646E-03 -.3017E+01  .1692E+02   .9999915 -.0028206  .0029992
T 1342  9 .1268053E+08   7573599E-03 -.9642E+01 -.1059E+02   .9999976  .0010081 -.0019456
T 1343  9 .1265955E+08   7564625E-03  .9248E+01 -.2592E+01   .9999964  .0020706 -.0017009
T 1344  9 .1268170E+08   7530592E-03 -.1339E+02 -.3952E+01   .9999949 -.0027805 -.0015456
T 1345  9 .1266724E+08   7561891E-03  .1378E+00  .1461E+02   .9999893  .0014841  .0043873
T 1346  9 .1264117E+08   7585543E-03  .1324E+02 -.8259E+01   .9999876  .0044133 -.0023262
T 1347  9 .1268700E+08   7527638E-03  .1262E+02 -.1383E+02   .9999792  .0045347 -.0045848
T 1348  9 .1268812E+08   7555424E-03 -.2222E+01 -.6639E+01   .9999570 -.0048781 -.0078909
T 1349  9 .1271657E+08   7570583E-03 -.9709E+01 -.5687E+01   .9999943 -.0033506 -.0003234
T 1350  9 .1269557E+08   7569485E-03 -.7303E+01 -.3588E+01   .9999880 -.0048132  .0008646
T 1351  9 .1273449E+08   7557865E-03 -.8528E+01  .3862E+01   .9999966 -.0024628 -.0008162
T 1352  9 .1269989E+08   7532713E-03 -.7553E+01  .4858E+01   .9999970 -.0024146  .0003879
T 1353  9 .1268766E+08   7527830E-03  .3846E+02 -.8672E+02   .9998697  .0098295 -.0128074
T 1354  9 .1268735E+08   7549682E-03 -.4542E+01 -.7255E+01   .9999811 -.0017875 -.0058751
T 1355  9 .1264771E+08   7562577E-03 -.3447E+01 -.9470E+01   .9999988 -.0008029 -.0013113
T 1356  9 .1270097E+08   7553075E-03 -.3173E+01 -.7037E+01   .9999996 -.0008212 -.0004718
T 1357  9 .1267224E+08   7538197E-03 -.1282E+02  .8934E+00   .9999960 -.0028198  .0002728
T 1358  9 .1269463E+08   7554362E-03 -.9888E+01 -.3213E+01   .9999937 -.0026427 -.0023765
T 1359  9 .1268445E+08   7547371E-03 -.4977E+01 -.3311E+01   .9999978 -.0004869 -.0020517
T 1360  9 .1268447E+08   7545691E-03 -.4160E+01 -.6634E+01   .9999911 -.0010116 -.0040983
T 1361  9 .1270436E+08   7574448E-03 -.1605E+02  .2710E+02   .9999801 -.0023369  .0058611
T 1362  9 .1269452E+08   7596733E-03  .1028E+01  .2408E+01   .9999995 -.0009509 -.0004125
T 1363  9 .1269667E+08   7556921E-03 -.1070E+02 -.9355E+01   .9999933 -.0030909 -.0019372
T 1364  9 .1265678E+08   7551463E-03  .3450E+01 -.2151E+00   .9999976  .0015515  .0015685
T 1365  9 .1267592E+08   7539957E-03 -.4854E+01 -.2317E+01   .9999991 -.0007758 -.0011186
T 1366  9 .1267377E+08   7548273E-03 -.6778E+00  .1457E+02   .9999932 -.0012971  .0034485
T 1367  9 .1270031E+08   7573026E-03 -.7909E+01 -.5103E+01   .9999991 -.0013345 -.0001249
T 1368  9 .1267705E+08   7573902E-03 -.8709E+01 -.3302E+01   .9999955 -.0030002 -.0000601
T 1369  9 .1271307E+08   7534701E-03  .1393E+02 -.1196E+02   .9999971  .0012764 -.0020178
T 1370  9 .1270583E+08   7557230E-03  .1094E+02 -.2578E+01   .9999959  .0026985  .0009399
T 1371  9 .1270704E+08   7538868E-03 -.6728E+01 -.1190E+02   .9999906 -.0011578 -.0041831
T 1372  9 .1263020E+08   7556955E-03  .6613E+01  .6507E+01   .9999978 -.0004309  .0020736
T 1373  9 .1267043E+08   7562758E-03 -.5554E+01 -.2280E+01   .9999978 -.0004717 -.0020265
T 1374  9 .1269912E+08   7542677E-03  .5251E-01 -.3793E+01   .9999954 -.0014236 -.0026927
T 1375  9 .1265260E+08   7544678E-03  .1470E+02  .1073E+02   .9999982 -.0018200  .0004743
T 1376  9 .1271409E+08   7540746E-03 -.5794E+01  .5180E-01   .9999966 -.0023600 -.0010680
T 1377  9 .1272320E+08   7538877E-03 -.3086E+01  .6263E+01   .9999987 -.0014485  .0006832
T 1378  9 .1266803E+08   7528299E-03 -.1426E+01  .4586E+01   .9999989  .0009087  .0011833
T 1379  9 .1271621E+08   7548517E-03 -.3381E+00  .1006E+02   .9999921 -.0009006  .0038680
T 1380  9 .1271871E+08   7534681E-03 -.8054E+01  .4728E+01   .9999949 -.0020739  .0024113
T 1381  9 .1270116E+08   7531994E-03 -.2616E+01 -.3716E+01   .9999967  .0007693 -.0024624
T 1382  9 .1269784E+08   7587235E-03 -.1960E+02  .1033E+02   .9999920 -.0033622  .0021771
T 1383  9 .1266336E+08   7546348E-03  .4517E+01  .2134E+01   .9999990  .0008700  .0011181
T 1384  9 .1269910E+08   7557081E-03  .1999E+01 -.1730E+02   .9999948 -.0004805 -.0031802
