============================== SRIM-2006.02 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ni(1.68 GeV) ==> Mylar(  5 um) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 28 .1671030E+10   5039150E-02 -.7534E+01 -.4789E+01   .9999999 -.0002613 -.0002414
T    2 28 .1671019E+10   5014119E-02  .1208E+02  .3509E+01   .9999999  .0004106 -.0000421
T    3 28 .1671336E+10   5019359E-02  .8732E+01 -.2598E+01   .9999999  .0004782 -.0000890
T    4 28 .1670638E+10   5017392E-02  .8013E+01 -.1291E+02   .9999996  .0004328 -.0008206
T    5 28 .1671062E+10   5036168E-02  .1192E+02 -.5708E+01   .9999999  .0003113 -.0001851
T    6 28 .1671233E+10   5015428E-02 -.1437E+02  .1556E+01   .9999999 -.0004577  .0002249
T    7 28 .1671417E+10   5014254E-02 -.8297E+01  .7711E+01   .9999999 -.0001885  .0002397
T    8 28 .1671023E+10   5020141E-02 -.5438E+00 -.2514E+01   .9999999 -.0000194  .0000666
T    9 28 .1671034E+10   5018006E-02 -.6378E+01 -.4166E+01   .9999999 -.0002090 -.0000275
T   10 28 .1671233E+10   5014439E-02 -.1912E+02  .1399E+01   .9999999 -.0005079  .0001752
T   11 28 .1670925E+10   5036116E-02 -.1789E+02 -.1671E+02   .9999998 -.0004325 -.0004422
T   12 28 .1670962E+10   5000237E-02  .1743E+01 -.9528E+00   .9999999 -.0000911  .0000530
T   13 28 .1671331E+10   5002757E-02  .4307E+01  .4517E+00   .9999999 -.0000177  .0000808
T   14 28 .1671408E+10   5028014E-02  .1821E+01 -.5635E+01   .9999999 -.0000581 -.0001850
T   15 28 .1671643E+10   5007267E-02 -.1353E+01  .1082E+02   .9999999  .0001737  .0003011
T   16 28 .1671419E+10   5018715E-02  .7008E+01  .5071E+01   .9999999  .0003512  .0002902
T   17 28 .1670921E+10   5009319E-02  .1955E+01  .1751E+01   .9999999  .0001103 -.0000223
T   18 28 .1671199E+10   5039727E-02  .4404E+01 -.8836E+01   .9999999  .0002185 -.0003773
T   19 28 .1671165E+10   5009489E-02  .4933E+00 -.2872E+01   .9999999 -.0000605 -.0002393
T   20 28 .1670677E+10   5036573E-02  .2859E+01 -.1153E+01   .9999999  .0001885 -.0000878
T   21 28 .1671096E+10   5018574E-02  .2102E+01  .8069E+00   .9999998  .0005561  .0001903
T   22 28 .1671237E+10   5015745E-02  .1119E+02  .1157E+02   .9999999  .0001546  .0002293
T   23 28 .1671297E+10   5042189E-02  .2358E+02 -.1110E+01   .9999997  .0007160 -.0001510
T   24 28 .1671183E+10   5002830E-02  .6525E+01 -.7774E+01   .9999999  .0001045 -.0002419
T   25 28 .1671211E+10   5024101E-02 -.4301E+01  .3675E+01   .9999998 -.0006158 -.0000050
T   26 28 .1671337E+10   5013821E-02  .2628E+01 -.1418E+02   .9999998 -.0000610 -.0005607
T   27 28 .1671426E+10   5023573E-02 -.7759E+01 -.5619E+01   .9999999 -.0000985 -.0001283
T   28 28 .1671359E+10   5020484E-02 -.3222E+01  .7971E+01   .9999999 -.0001024  .0003481
T   29 28 .1670766E+10   5018926E-02  .3110E+01 -.4191E+01   .9999999  .0000372 -.0002770
T   30 28 .1671405E+10   5005771E-02  .1358E+02 -.8675E+01   .9999999  .0004164 -.0002829
T   31 28 .1670844E+10   5009262E-02 -.1489E+02  .4670E+01   .9999999 -.0002748  .0001377
T   32 28 .1671235E+10   5043597E-02 -.2166E+01  .9392E+01   .9999999 -.0001302  .0002109
T   33 28 .1671430E+10   5015932E-02 -.3776E+01  .1942E+02   .9999997 -.0002706  .0006908
T   34 28 .1671586E+10   5028320E-02  .3580E+01  .4586E+01   .9999999  .0001970  .0002597
T   35 28 .1671030E+10   5011952E-02 -.8079E+01  .4504E+01   .9999999  .0000601  .0005184
T   36 28 .1671302E+10   5026585E-02 -.6762E+01 -.1047E+02   .9999998 -.0001052 -.0005485
T   37 28 .1671255E+10   5000050E-02  .5942E+01 -.9880E+01   .9999999  .0001923 -.0003250
T   38 28 .1671063E+10   5000450E-02  .2265E+01 -.2727E+01   .9999999  .0001508 -.0000783
T   39 28 .1670954E+10   5014922E-02  .5665E+00 -.1785E+01   .9999999  .0000677  .0001174
T   40 28 .1671270E+10   5010780E-02  .4180E+02  .5162E+02   .9999964  .0013851  .0022767
T   41 28 .1671061E+10   5026046E-02  .2010E+02 -.9861E+01   .9999996  .0006906 -.0005444
T   42 28 .1671080E+10   5013426E-02  .5431E+01 -.1728E+02   .9999999 -.0000750 -.0005127
T   43 28 .1671015E+10   5026114E-02 -.6142E+01 -.1421E+01   .9999999 -.0000638 -.0000567
T   44 28 .1671296E+10   5029249E-02  .2466E+01  .2459E+02   .9999998  .0001905  .0006224
T   45 28 .1671091E+10   5046135E-02 -.1215E+01 -.7161E+01   .9999999  .0000803 -.0001017
T   46 28 .1671177E+10   5024689E-02 -.9026E+01  .1039E+01   .9999999 -.0002513  .0000451
T   47 28 .1670742E+10   5018604E-02  .7322E+01  .6066E+01   .9999999  .0002559  .0001572
T   48 28 .1671060E+10   5002150E-02 -.1641E+02  .1703E+02   .9999995 -.0009710  .0003086
T   49 28 .1670995E+10   5004468E-02  .1744E+01 -.8121E+01   .9999999  .0001358 -.0003720
T   50 28 .1671145E+10   5036087E-02  .4790E+01 -.3962E+01   .9999999  .0001758 -.0001217
T   51 28 .1671108E+10   5007010E-02 -.5509E+01 -.9499E+01   .9999999 -.0003515 -.0003736
T   52 28 .1670973E+10   5028307E-02  .1549E+02 -.1224E+01   .9999998  .0006021 -.0001510
T   53 28 .1671467E+10   5024934E-02  .2457E+02  .5460E+01   .9999998  .0005979  .0001689
T   54 28 .1671267E+10   5004358E-02  .4413E+00 -.4216E+01   .9999999  .0000978 -.0001086
T   55 28 .1671338E+10   5027499E-02  .6682E+01  .2267E+01   .9999999  .0001591  .0000366
T   56 28 .1671211E+10   5033412E-02 -.5521E+01  .2054E+01   .9999999 -.0001633 -.0000392
T   57 28 .1671009E+10   5048423E-02 -.1267E+02 -.1650E+02   .9999996 -.0004947 -.0008085
T   58 28 .1670980E+10   5034268E-02 -.1561E+02  .5592E+01   .9999999 -.0003891  .0003170
T   59 28 .1671011E+10   5031039E-02 -.9493E+01  .8511E+01   .9999998 -.0003984  .0004197
T   60 28 .1671305E+10   5008359E-02  .1420E+02 -.2838E+01   .9999999  .0004055 -.0000781
T   61 28 .1671188E+10   5017912E-02  .3221E+00  .2779E+01   .9999999 -.0000262  .0000407
T   62 28 .1671157E+10   5028508E-02  .5253E+01 -.2855E+01   .9999999  .0003107 -.0000846
T   63 28 .1671262E+10   5028190E-02  .1000E+02 -.1391E+02   .9999989 -.0012267 -.0008022
T   64 28 .1671155E+10   5030331E-02 -.6931E+01  .1219E+02   .9999999 -.0001566  .0004159
T   65 28 .1671093E+10   5017552E-02  .1634E+01 -.1477E+01   .9999999  .0001648  .0001256
T   66 28 .1671328E+10   5002154E-02  .9950E+01 -.1031E+02   .9999999  .0001870 -.0003826
T   67 28 .1671220E+10   5014350E-02 -.6541E+01  .1341E+02   .9999999 -.0001331  .0002001
T   68 28 .1671207E+10   5034214E-02 -.1445E+02 -.6571E+01   .9999998 -.0005572 -.0003010
T   69 28 .1670972E+10   5024725E-02 -.9223E+00  .2521E+01   .9999999 -.0001115  .0002322
T   70 28 .1671441E+10   5024216E-02  .1288E+01  .1857E+01   .9999999  .0001855  .0000720
T   71 28 .1671046E+10   5033104E-02 -.1032E+02 -.3002E+01   .9999999 -.0004248 -.0001233
T   72 28 .1671141E+10   5010972E-02  .6347E+00  .7226E+01   .9999999  .0000605  .0002326
T   73 28 .1671087E+10   5015624E-02  .5591E+01 -.4748E+01   .9999999  .0001814 -.0001050
T   74 28 .1670922E+10   5019212E-02 -.1090E+02  .6287E+01   .9999998 -.0004410  .0004653
T   75 28 .1671005E+10   5012307E-02  .2533E+01 -.6881E+01   .9999999  .0000955 -.0001662
T   76 28 .1671345E+10   5014708E-02 -.4034E+01  .7037E+00   .9999999 -.0001796 -.0000207
T   77 28 .1671431E+10   5009410E-02 -.1233E+02 -.4073E+01   .9999999 -.0003543 -.0001850
T   78 28 .1671020E+10   5011995E-02 -.4249E+01  .4503E+01   .9999999 -.0000655  .0001283
T   79 28 .1670923E+10   5004021E-02 -.3564E+01 -.4531E+01   .9999999 -.0002062 -.0000419
T   80 28 .1671053E+10   5029886E-02 -.9674E+01  .6632E+01   .9999999 -.0003309  .0000890
T   81 28 .1671092E+10   5027138E-02 -.4412E+01  .4223E+01   .9999999 -.0001332  .0002738
