============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .7891785E+07   2676250E-02  .4850E+04 -.7173E+02   .9828550  .1832877 -.0200414
T    2  9 .7774695E+07   2684918E-02  .4290E+04 -.4118E+03   .9887374  .1483646 -.0196547
T    3  9 .7874043E+07   2682749E-02  .4816E+04 -.1131E+03   .9832362  .1823311  .0013985
T    4  9 .7909262E+07   2675924E-02  .5053E+04 -.9628E+02   .9827352  .1842353 -.0169971
T    5  9 .7933217E+07   2673346E-02  .4801E+04 -.8194E+02   .9820567  .1885836 -.0009302
T    6  9 .7923460E+07   2662410E-02  .4579E+04  .2652E+03   .9899026  .1415247  .0079727
T    7  9 .8064824E+07   2660427E-02  .4440E+04 -.1401E+03   .9876070  .1568989 -.0038960
T    8  9 .7831791E+07   2684245E-02  .5076E+04  .1743E+03   .9824228  .1866655 -.0011896
T    9  9 .7867000E+07   2660494E-02  .5057E+04  .8801E+01   .9834815  .1810077  .0005118
T   10  9 .7758595E+07   2686673E-02  .4861E+04  .1041E+02   .9833451  .1786017 -.0336713
T   11  9 .7930118E+07   2676134E-02  .4537E+04  .1412E+03   .9858373  .1674413 -.0093971
T   12  9 .7959581E+07   2664700E-02  .4590E+04 -.3728E+03   .9847452  .1716992 -.0282173
T   13  9 .8017970E+07   2675856E-02  .4772E+04  .5256E+02   .9852875  .1708693  .0035020
T   14  9 .7837677E+07   2673877E-02  .4793E+04  .2066E+03   .9809364  .1936606 -.0161078
T   15  9 .8069894E+07   2666027E-02  .4583E+04  .5952E+01   .9857438  .1681850 -.0047862
T   16  9 .7888411E+07   2662779E-02  .4790E+04 -.4427E+03   .9847789  .1673112 -.0470892
T   17  9 .7933490E+07   2686047E-02  .4661E+04 -.9909E+02   .9864373  .1639133 -.0086008
T   18  9 .7850501E+07   2686676E-02  .4827E+04  .1970E+03   .9850920  .1690894  .0316623
T   19  9 .7798111E+07   2686096E-02  .5108E+04  .7347E+01   .9819348  .1892156  .0012337
T   20  9 .8062518E+07   2660908E-02  .4697E+04  .1834E+03   .9849644  .1723973  .0111505
T   21  9 .7935703E+07   2674371E-02  .4426E+04  .4211E+03   .9852011  .1705837  .0167352
T   22  9 .7932208E+07   2673801E-02  .4571E+04  .3189E+02   .9863745  .1644394  .0050115
T   23  9 .7893564E+07   2676702E-02  .4623E+04 -.2251E+03   .9853869  .1699868 -.0108275
T   24  9 .7996592E+07   2663929E-02  .5082E+04 -.5262E+02   .9838761  .1787939 -.0045421
T   25  9 .8084928E+07   2662394E-02  .4747E+04 -.2045E+03   .9848163  .1732294 -.0113306
T   26  9 .7959792E+07   2667610E-02  .4786E+04 -.1077E+03   .9819841  .1888742 -.0058080
T   27  9 .7922155E+07   2677311E-02  .4565E+04  .2079E+03   .9887183  .1473583  .0268640
T   28  9 .7987598E+07   2664969E-02  .4471E+04  .1324E+03   .9855753  .1690661  .0076133
T   29  9 .7901190E+07   2662620E-02  .4622E+04 -.2337E+03   .9852234  .1695878 -.0239766
T   30  9 .7898088E+07   2683327E-02  .4798E+04  .3729E+02   .9832756  .1819765  .0073206
T   31  9 .7792223E+07   2670505E-02  .4567E+04 -.3678E+03   .9854191  .1674286 -.0302805
T   32  9 .7880679E+07   2670022E-02  .4355E+04  .4925E+01   .9882715  .1511076  .0220421
T   33  9 .8037062E+07   2677093E-02  .4977E+04  .2431E+03   .9816041  .1871498  .0377926
T   34  9 .7913768E+07   2685568E-02  .4593E+04 -.2421E+02   .9874670  .1576521  .0074058
T   35  9 .7927814E+07   2678242E-02  .4412E+04  .1314E+03   .9859273  .1671008  .0049746
T   36  9 .7969118E+07   2676561E-02  .4344E+04  .3608E+03   .9901812  .1357924  .0331921
T   37  9 .7945690E+07   2681237E-02  .4846E+04  .1490E+03   .9824207  .1862270  .0130049
T   38  9 .7860183E+07   2661826E-02  .4918E+04 -.1473E+03   .9835220  .1807743 -.0022593
T   39  9 .8061068E+07   2673569E-02  .4754E+04  .4513E+03   .9839192  .1758410  .0313524
T   40  9 .7877186E+07   2677503E-02  .4868E+04  .1814E+03   .9842915  .1761603  .0117420
T   41  9 .7896287E+07   2682054E-02  .4877E+04 -.2912E+03   .9851794  .1712373 -.0099641
T   42  9 .7974140E+07   2680687E-02  .4749E+04 -.4014E+03   .9843684  .1751245 -.0187136
T   43  9 .7952856E+07   2664861E-02  .4696E+04  .1078E+03   .9860074  .1652103  .0222466
T   44  9 .8011418E+07   2670385E-02  .5207E+04  .3853E+02   .9829556  .1838382 -.0013033
T   45  9 .7863354E+07   2677673E-02  .4976E+04 -.2384E+03   .9795357  .2000186 -.0224146
T   46  9 .7828808E+07   2685085E-02  .4525E+04 -.6150E+02   .9873827  .1581693 -.0076070
T   47  9 .7815667E+07   2665312E-02  .6151E+04 -.3182E+03   .9592057  .2795678 -.0420267
T   48  9 .7961329E+07   2668818E-02  .4441E+04 -.3058E+03   .9865536  .1620436 -.0213021
T   49  9 .7991408E+07   2680142E-02  .4545E+04  .3294E+01   .9895421  .1430393  .0186083
T   50  9 .7897630E+07   2669382E-02  .4362E+04  .1570E+03   .9881208  .1536601 -.0024188
T   51  9 .8021458E+07   2664207E-02  .4422E+04  .7707E+02   .9867516  .1622030  .0033838
T   52  9 .7883862E+07   2673344E-02  .4898E+04 -.8585E+03   .9806849  .1879888 -.0540133
T   53  9 .7895735E+07   2665409E-02  .4899E+04  .1368E+03   .9802885  .1962772  .0225791
T   54  9 .7854784E+07   2666069E-02  .4437E+04  .2647E+03   .9858390  .1676892  .0013370
T   55  9 .7830789E+07   2662709E-02  .4831E+04 -.2368E+03   .9814121  .1915137 -.0123627
T   56  9 .7888539E+07   2673623E-02  .4945E+04 -.4041E+03   .9809215  .1922749 -.0286943
T   57  9 .7988723E+07   2670604E-02  .4911E+04  .1606E+03   .9825365  .1848464  .0213048
T   58  9 .7850951E+07   2680393E-02  .4605E+04 -.7408E+02   .9881457  .1535186  .0001378
T   59  9 .7959592E+07   2673303E-02  .4135E+04  .2752E+03   .9905903  .1362739  .0126627
T   60  9 .7911513E+07   2670241E-02  .4233E+04 -.2165E+03   .9896244  .1433736 -.0093529
T   61  9 .7904022E+07   2684574E-02  .4917E+04  .1003E+04   .9832967  .1693572  .0666771
T   62  9 .7969897E+07   2666188E-02  .4576E+04 -.2755E+03   .9831211  .1819498 -.0191608
T   63  9 .8028477E+07   2665965E-02  .3994E+04 -.1967E+03   .9908920  .1323546 -.0248058
T   64  9 .8065265E+07   2671335E-02  .4846E+04 -.8031E+02   .9837628  .1789522 -.0136701
T   65  9 .7912594E+07   2666079E-02  .5000E+04 -.3799E+03   .9807791  .1921471 -.0339390
T   66  9 .7926558E+07   2672274E-02  .4920E+04 -.2136E+03   .9832187  .1799009 -.0302763
T   67  9 .7795991E+07   2662280E-02  .4802E+04  .1855E+03   .9839246  .1768153  .0250757
T   68  9 .7990722E+07   2668410E-02  .4658E+04  .1027E+03   .9848388  .1723018  .0201160
T   69  9 .8029086E+07   2664102E-02  .4389E+04 -.8066E+02   .9894500  .1443336 -.0125072
T   70  9 .7919063E+07   2665595E-02  .4509E+04 -.9499E+02   .9862206  .1649211 -.0130327
T   71  9 .7912353E+07   2666319E-02  .4612E+04 -.1791E+03   .9915010  .1300708 -.0027045
T   72  9 .8002675E+07   2661755E-02  .4932E+04  .1214E+03   .9813036  .1917506  .0165810
T   73  9 .7893283E+07   2683434E-02  .5327E+04 -.2725E+03   .9786904  .2052280 -.0068270
T   74  9 .7833065E+07   2676858E-02  .4966E+04 -.1466E+03   .9805667  .1919687 -.0404593
T   75  9 .7855624E+07   2665410E-02  .4656E+04 -.1002E+02   .9844169  .1758506  .0000458
T   76  9 .7847758E+07   2662071E-02  .4658E+04 -.7394E+01   .9870928  .1601094  .0035682
T   77  9 .7916483E+07   2666377E-02  .4589E+04  .1118E+03   .9853780  .1703824 -.0000035
T   78  9 .7988809E+07   2679076E-02  .4702E+04 -.2381E+03   .9851008  .1718967 -.0052893
T   79  9 .7857145E+07   2678863E-02  .4176E+04 -.5508E+01   .9892800  .1457599 -.0088963
T   80  9 .7862892E+07   2681508E-02  .5145E+04 -.9473E+02   .9815811  .1907821 -.0100407
T   81  9 .7929678E+07   2677835E-02  .5058E+04 -.3438E+02   .9807037  .1947674  .0169100
T   82  9 .7929001E+07   2673881E-02  .4587E+04  .1245E+02   .9858509  .1673132  .0102090
T   83  9 .7883898E+07   2664068E-02  .4453E+04 -.1670E+03   .9908653  .1331122 -.0216101
