============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Layer 1( 2.13 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8105522E+07   2140521E-02 -.1184E+03 -.1899E+02   .9999317 -.0090141  .0074442
T    2  9 .8183180E+07   2132209E-02  .1843E+02 -.4262E+02   .9999980 -.0010216 -.0017180
T    3  9 .8108585E+07   2135986E-02 -.7207E+02  .1187E+03   .9999219 -.0018581  .0123578
T    4  9 .8192568E+07   2139417E-02  .4036E+02  .1147E+03   .9998614  .0083723  .0143909
T    5  9 .7935284E+07   2143776E-02 -.1714E+04 -.8578E+03   .9941600 -.0977033 -.0458256
T    6  9 .8097123E+07   2141773E-02  .8178E+02  .7103E+01   .9999966  .0026233  .0000378
T    7  9 .8261382E+07   2131173E-02 -.4647E+02  .4244E+02   .9999608 -.0073543  .0049275
T    8  9 .8134092E+07   2140621E-02 -.2900E+02  .1763E+03   .9999174 -.0022018  .0126601
T    9  9 .8094275E+07   2132785E-02  .6432E+01  .2762E+03   .9999149 -.0054063  .0118729
T   10  9 .8144551E+07   2142909E-02 -.1323E+03  .6352E+02   .9999204 -.0034067  .0121481
T   11  9 .8149970E+07   2136228E-02 -.6317E+02  .1046E+03   .9999114  .0047080  .0124526
T   12  9 .8096500E+07   2133513E-02 -.5637E+02 -.8527E+01   .9999813 -.0058060 -.0019155
T   13  9 .8240308E+07   2138444E-02 -.1252E+03 -.1217E+03   .9999723 -.0055942 -.0049099
T   14  9 .8073635E+07   2141916E-02  .9553E+02  .1446E+03   .9999229  .0089730  .0085823
T   15  9 .8235756E+07   2139952E-02 -.3957E+02 -.4178E+02   .9999807 -.0060132 -.0015483
T   16  9 .8190869E+07   2132761E-02  .4340E+02  .1288E+03   .9999487  .0055980  .0084442
T   17  9 .8158452E+07   2145540E-02  .6075E+02  .2943E+02   .9999944  .0025430  .0021694
T   18  9 .8133657E+07   2132300E-02  .1686E+03  .1094E+03   .9999208 -.0025452  .0123245
T   19  9 .8069498E+07   2135549E-02 -.1106E+03  .1129E+03   .9996310 -.0196581  .0187447
T   20  9 .8157541E+07   2140568E-02 -.4004E+02 -.1534E+03   .9997274  .0028235 -.0231745
T   21  9 .8180065E+07   2131609E-02  .2209E+03 -.1517E+03   .9998275  .0181672 -.0038642
T   22  9 .8166668E+07   2133911E-02 -.1660E+03  .2800E+02   .9992673 -.0333569  .0187684
T   23  9 .8205218E+07   2132630E-02  .1834E+03 -.2059E+03   .9997465  .0158925 -.0159510
T   24  9 .8075436E+07   2137722E-02 -.6769E+02  .1744E+02   .9999799 -.0060111 -.0020190
T   25  9 .8161294E+07   2143995E-02  .1389E+03 -.9724E+02   .9997641  .0184320 -.0114887
T   26  9 .8213025E+07   2132403E-02  .1238E+03  .4692E+02   .9999712  .0074512  .0014544
T   27  9 .8187103E+07   2144202E-02 -.2409E+01  .1047E+03   .9999369  .0062852  .0093143
T   28  9 .8098230E+07   2141687E-02  .1073E+03  .2513E+03   .9998372  .0124519  .0130587
T   29  9 .8270701E+07   2130999E-02 -.1685E+03  .2190E+03   .9997288 -.0167926  .0161362
T   30  9 .8121210E+07   2132866E-02 -.4027E+02 -.6568E+02   .9999465 -.0074854 -.0071345
T   31  9 .8163692E+07   2141605E-02 -.9554E+01  .5355E+02   .9999977 -.0019111 -.0009767
T   32  9 .8127025E+07   2130860E-02 -.2423E+03 -.3749E+03   .9995274 -.0187723 -.0243442
T   33  9 .8114876E+07   2132202E-02 -.9712E+02 -.1378E+03   .9999826 -.0038550 -.0044687
T   34  9 .8275840E+07   2143005E-02 -.5955E+02  .1995E+03   .9997976 -.0059753  .0192084
T   35  9 .8118086E+07   2145932E-02  .3863E+02 -.4892E+02   .9999046 -.0081779 -.0111353
T   36  9 .8109228E+07   2132098E-02  .6385E+02 -.3722E+02   .9999284  .0103701  .0059744
T   37  9 .8148421E+07   2131093E-02  .1463E+03  .1906E+03   .9998416  .0106453  .0142607
T   38  9 .8098703E+07   2134255E-02 -.5493E+02 -.1728E+03   .9999358  .0010049 -.0112906
T   39  9 .8152551E+07   2134225E-02 -.8735E+02  .2922E+02   .9999442 -.0084241  .0063766
T   40  9 .8219315E+07   2134927E-02 -.7029E+02  .4469E+02   .9999539 -.0095918  .0003559
T   41  9 .8109784E+07   2137464E-02 -.4082E+03 -.1201E+03   .9992947 -.0334970 -.0169717
T   42  9 .8068751E+07   2135945E-02  .5346E+02  .1088E+03   .9999647  .0013632  .0082909
T   43  9 .8187293E+07   2133813E-02 -.1106E+02  .3645E+02   .9999860 -.0003522  .0052808
T   44  9 .8176432E+07   2130657E-02 -.2616E+03 -.1751E+03   .9998305 -.0139772 -.0119843
T   45  9 .8209617E+07   2134219E-02 -.5649E+02 -.3517E+02   .9999759 -.0065432 -.0023164
T   46  9 .8175056E+07   2135748E-02 -.3695E+02  .1802E+03   .9999126 -.0004072  .0132169
T   47  9 .8249679E+07   2141414E-02 -.1198E+03 -.1154E+02   .9998519 -.0156157  .0072324
T   48  9 .8205289E+07   2142440E-02  .2316E+03  .4004E+02   .9999712  .0066421 -.0036790
T   49  9 .8254328E+07   2132471E-02  .1480E+03 -.1360E+02   .9999901  .0044423 -.0001913
T   50  9 .8181924E+07   2142897E-02  .3202E+02  .2009E+03   .9997739 -.0055385  .0205284
T   51  9 .8222156E+07   2130963E-02 -.6536E+02  .1568E+03   .9992503 -.0112721  .0370370
T   52  9 .8081540E+07   2148462E-02  .3484E+02  .1099E+03   .9999196  .0038404  .0120885
T   53  9 .8183188E+07   2143001E-02  .2028E+03 -.8739E+02   .9998524  .0061482 -.0160402
T   54  9 .8153026E+07   2130521E-02 -.5411E+02 -.3209E+02   .9999544 -.0090239 -.0031205
T   55  9 .8058579E+07   2148776E-02 -.3535E+02  .4089E+02   .9999804 -.0017724  .0060059
T   56  9 .8115015E+07   2133969E-02  .3820E+02 -.1439E+03   .9999180 -.0011322 -.0127581
T   57  9 .8215606E+07   2136222E-02  .6955E+02 -.1812E+02   .9999611  .0027308 -.0083863
T   58  9 .8200122E+07   2144568E-02 -.1346E+03  .2672E+02   .9999764 -.0053926  .0042451
T   59  9 .8175280E+07   2136479E-02 -.5793E+02 -.1936E+03   .9999055  .0009208 -.0137158
T   60  9 .8109857E+07   2147598E-02 -.6018E+02  .1944E+02   .9999989  .0012668 -.0007065
T   61  9 .8126971E+07   2130540E-02  .1379E+02  .1307E+03   .9999863  .0006252  .0051879
T   62  9 .8227923E+07   2132786E-02 -.3297E+02 -.8728E+02   .9999542 -.0040838 -.0086531
T   63  9 .8209445E+07   2140866E-02 -.2234E+03  .1186E+03   .9998199 -.0184271  .0045503
T   64  9 .8175517E+07   2138098E-02  .1096E+03 -.6437E+02   .9999397  .0094045 -.0056624
T   65  9 .8182112E+07   2137872E-02 -.9947E+02  .2000E+03   .9998828 -.0069305  .0136545
T   66  9 .8176107E+07   2151011E-02  .2568E+03  .7105E+02   .9998145  .0136881  .0135466
T   67  9 .8076940E+07   2137094E-02 -.1385E+03 -.1623E+02   .9998951 -.0140320 -.0035930
T   68  9 .8126047E+07   2141313E-02 -.1365E+03  .3242E+02   .9999358 -.0111962 -.0017271
T   69  9 .8122782E+07   2134510E-02  .1372E+03 -.1508E+03   .9998527  .0121952 -.0120755
T   70  9 .8216537E+07   2135129E-02 -.4708E+01  .2538E+02   .9999815  .0002895  .0060790
T   71  9 .8064695E+07   2149248E-02  .8885E+01 -.2356E+02   .9999758 -.0048400  .0049880
T   72  9 .8138289E+07   2145834E-02  .2871E+02 -.6124E+02   .9999518  .0051891 -.0083301
