============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  9 .8227369E+07   2145326E-02  .1941E+04 -.3330E+02   .9952982  .0961067 -.0120403
T    2  9 .8282344E+07   2142243E-02  .2190E+04 -.5574E+03   .9939039  .1023638 -.0409472
T    3  9 .8207863E+07   2149422E-02  .1846E+04  .1862E+03   .9954909  .0935516  .0156811
T    4  9 .8251612E+07   2144379E-02  .1877E+04  .6137E+02   .9963817  .0837464  .0144964
T    5  9 .8296578E+07   2144830E-02  .1868E+04 -.8511E+02   .9954688  .0949177 -.0057066
T    6  9 .8252403E+07   2147031E-02  .1648E+04 -.5244E+02   .9968465  .0783587 -.0125265
T    7  9 .8333272E+07   2138489E-02  .1857E+04  .6461E+02   .9967289  .0808167  .0004648
T    8  9 .8301428E+07   2140104E-02  .1922E+04  .8166E+01   .9956209  .0934008  .0039106
T    9  9 .8220463E+07   2148724E-02  .1918E+04  .6795E+02   .9963890  .0848970  .0011891
T   10  9 .8227209E+07   2144959E-02  .1926E+04  .6922E+02   .9959806  .0895683 -.0004169
T   11  9 .8330334E+07   2137935E-02  .1922E+04 -.2093E+02   .9963461  .0847872 -.0102708
T   12  9 .8219470E+07   2140319E-02  .1796E+04  .6152E+02   .9967692  .0797730  .0093457
T   13  9 .8278394E+07   2143198E-02  .1874E+04  .4060E+02   .9964084  .0846293 -.0028660
T   14  9 .8260425E+07   2147439E-02  .1814E+04 -.5725E+02   .9959032  .0903233 -.0043015
T   15  9 .8301081E+07   2131548E-02  .1779E+04 -.8215E+02   .9976680  .0673638 -.0109854
T   16  9 .8311952E+07   2141447E-02  .1869E+04 -.1517E+03   .9964374  .0836243 -.0109342
T   17  9 .8301312E+07   2144952E-02  .1962E+04 -.7330E+02   .9964219  .0842196 -.0071065
T   18  9 .8262214E+07   2146018E-02  .1877E+04 -.2110E+03   .9961928  .0849769 -.0194639
T   19  9 .8209722E+07   2135463E-02  .1929E+04 -.3219E+03   .9917313  .1267075 -.0203533
T   20  9 .8183053E+07   2150354E-02  .1873E+04 -.1320E+03   .9969840  .0765761 -.0126131
T   21  9 .8303701E+07   2141306E-02  .1972E+04  .1240E+03   .9953687  .0955134  .0108757
T   22  9 .8261764E+07   2150514E-02  .1884E+04  .1275E+03   .9952625  .0953948 -.0187713
T   23  9 .8276516E+07   2138425E-02  .2006E+04 -.4468E+02   .9949013  .1007683 -.0041349
T   24  9 .8262564E+07   2136581E-02  .1809E+04  .3243E+02   .9966636  .0815814  .0024895
T   25  9 .8299071E+07   2137611E-02  .1785E+04  .3083E+03   .9958065  .0909077  .0102598
T   26  9 .8300250E+07   2144651E-02  .1859E+04 -.2213E+02   .9960884  .0880324 -.0076220
T   27  9 .8301344E+07   2137806E-02  .1898E+04  .4796E+01   .9959653  .0896696 -.0035201
T   28  9 .8165712E+07   2150405E-02  .1972E+04  .7700E+02   .9946660  .1031473  .0004677
T   29  9 .8387471E+07   2131273E-02  .2082E+04 -.3115E+01   .9944108  .1052462  .0083889
T   30  9 .8226050E+07   2144124E-02  .1667E+04 -.8998E+02   .9986277  .0501065 -.0152365
T   31  9 .8177365E+07   2139846E-02  .1852E+04 -.5403E+02   .9958923  .0905074 -.0026190
T   32  9 .8256934E+07   2137718E-02  .1721E+04 -.4797E+02   .9975045  .0705951 -.0010440
T   33  9 .8336454E+07   2147966E-02  .1711E+04  .5888E+02   .9971540  .0752120  .0051975
T   34  9 .8281283E+07   2142535E-02  .1928E+04  .1072E+03   .9958391  .0908659  .0069258
T   35  9 .8303922E+07   2149774E-02  .1756E+04  .7846E+02   .9957944  .0915926  .0020629
T   36  9 .8300253E+07   2148479E-02  .2049E+04  .1677E+03   .9953369  .0957766  .0114544
T   37  9 .8344059E+07   2143018E-02  .1736E+04 -.3610E+03   .9964747  .0776269 -.0318161
T   38  9 .8171751E+07   2146550E-02  .1773E+04  .1649E+02   .9968202  .0796485 -.0023540
T   39  9 .8313758E+07   2141304E-02  .2024E+04  .2434E+03   .9950808  .0966970  .0215358
T   40  9 .8294104E+07   2144144E-02  .1854E+04 -.1777E+02   .9955052  .0946442 -.0034540
T   41  9 .8233044E+07   2131510E-02  .1961E+04  .2144E+03   .9955266  .0935737  .0130693
T   42  9 .8279058E+07   2150667E-02  .2026E+04  .6088E+02   .9955832  .0938836 -.0000192
T   43  9 .8299108E+07   2145130E-02  .2067E+04 -.9169E+02   .9943982  .1054404 -.0073822
T   44  9 .8281222E+07   2139299E-02  .1972E+04 -.2078E+02   .9960952  .0880099  .0069690
T   45  9 .8232870E+07   2140846E-02  .1944E+04 -.2269E+02   .9960644  .0883951  .0064833
T   46  9 .8286679E+07   2144025E-02  .1820E+04  .5447E+02   .9964046  .0846825 -.0025959
T   47  9 .8288234E+07   2149350E-02  .1962E+04 -.1205E+03   .9951759  .0971190 -.0138893
T   48  9 .8214541E+07   2149091E-02  .1760E+04 -.1218E+03   .9970246  .0766183 -.0084589
T   49  9 .8226532E+07   2148592E-02  .2099E+04  .1736E+03   .9947871  .1009543  .0143853
T   50  9 .8286927E+07   2145892E-02  .1684E+04  .5526E+02   .9973208  .0727871  .0073002
T   51  9 .8291018E+07   2142009E-02  .1676E+04  .1457E+03   .9969166  .0780064  .0085059
T   52  9 .8206012E+07   2146424E-02  .1915E+04 -.3274E+03   .9947721  .0987136 -.0261556
T   53  9 .8388555E+07   2140664E-02  .2023E+04  .2199E+02   .9948849  .1009273  .0042154
T   54  9 .8266714E+07   2136637E-02  .1764E+04  .9987E+02   .9964043  .0842419  .0090435
T   55  9 .8303092E+07   2137497E-02  .1743E+04  .1242E+02   .9963886  .0848736 -.0024901
T   56  9 .8229637E+07   2140641E-02  .1853E+04 -.1051E+03   .9964301  .0826865 -.0170303
T   57  9 .8281951E+07   2141649E-02  .1937E+04  .6628E+02   .9952733  .0969001  .0064380
T   58  9 .8266159E+07   2141639E-02  .1779E+04  .5946E+02   .9966313  .0812335  .0112733
T   59  9 .8295306E+07   2138251E-02  .1748E+04  .1941E+03   .9974490  .0655030  .0283702
T   60  9 .8367280E+07   2137340E-02  .1947E+04 -.8510E+02   .9950819  .0989953 -.0034489
T   61  9 .8231691E+07   2137520E-02  .1873E+04  .2127E+02   .9962515  .0864808  .0019927
T   62  9 .8291275E+07   2151654E-02  .1895E+04  .6666E+02   .9953099  .0966517  .0040713
T   63  9 .8240786E+07   2141547E-02  .1978E+04  .5877E+02   .9963677  .0847408  .0083865
T   64  9 .8263797E+07   2140322E-02  .1992E+04 -.1032E+03   .9952718  .0964939 -.0110878
T   65  9 .8324757E+07   2149990E-02  .1907E+04  .1106E+03   .9955060  .0937439  .0134105
T   66  9 .8305437E+07   2141423E-02  .1922E+04 -.4392E+02   .9962366  .0866710 -.0009077
T   67  9 .8163377E+07   2150558E-02  .1825E+04  .1251E+03   .9961870  .0856371  .0166650
T   68  9 .8140358E+07   2141160E-02  .1845E+04  .5143E+02   .9964212  .0838349  .0107952
T   69  9 .8281230E+07   2143282E-02  .1733E+04  .6205E+02   .9977210  .0674746  .0001067
T   70  9 .8211856E+07   2147408E-02  .1785E+04 -.2868E+02   .9968709  .0790170 -.0021628
T   71  9 .8141500E+07   2137926E-02  .1888E+04  .2566E+02   .9926952  .0770633  .0928306
T   72  9 .8313068E+07   2139007E-02  .1766E+04  .2642E+02   .9971385  .0703366  .0277052
T   73  9 .8280160E+07   2143297E-02  .1792E+04 -.6302E+02   .9965212  .0833157 -.0020063
T   74  9 .8228570E+07   2145889E-02  .1906E+04  .1117E+03   .9957935  .0911187 -.0096284
T   75  9 .8193415E+07   2142683E-02  .1807E+04 -.1974E+01   .9966655  .0815269 -.0033515
T   76  9 .8239315E+07   2141129E-02  .2026E+04  .1935E+03   .9948655  .0988682  .0216280
T   77  9 .8253480E+07   2146949E-02  .1922E+04  .1351E+03   .9957452  .0912358  .0129397
T   78  9 .8334177E+07   2139421E-02  .1696E+04  .5813E+02   .9973211  .0718059  .0139498
T   79  9 .8374648E+07   2145877E-02  .1941E+04  .8913E+02   .9944444  .1052630 -.0001955
T   80  9 .8426235E+07   2147374E-02  .1934E+04  .9113E+02   .9959285  .0901429  .0007750
T   81  9 .8287091E+07   2141030E-02  .1478E+04 -.4328E+03   .9977694  .0623418 -.0238683
T   82  9 .8327561E+07   2137425E-02  .1883E+04  .6612E+02   .9964441  .0842485  .0011285
T   83  9 .8220859E+07   2148867E-02  .1740E+04  .1002E+03   .9972433  .0735705  .0096481
T   84  9 .8145808E+07   2139916E-02  .1861E+04  .7552E+02   .9964409  .0839795  .0072778
