============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .3718429E+06   1854306E-03 -.1321E+03 -.3784E+01   .9968103 -.0766044 -.0223807
T    2  2 .3867222E+06   1854423E-03  .8342E+02 -.3381E+02   .9782481  .1956097  .0690476
T    3  2 .3924133E+06   1852031E-03  .3465E+02  .2472E+02   .9990848  .0257753  .0341352
T    4  2 .3896104E+06   1852069E-03 -.2163E+03 -.3256E+02   .9816003 -.1909014 -.0041790
T    5  2 .3798918E+06   1853097E-03 -.3425E+01  .4234E+02   .9998992 -.0103564 -.0097150
T    6  2 .3818452E+06   1856961E-03 -.1089E+03 -.1159E+01   .8617699 -.4662659  .1998719
T    7  2 .3697456E+06   1861847E-03 -.1722E+02 -.9921E+02   .9866203 -.0863839 -.1382685
T    8  2 .3730009E+06   1847107E-03  .1708E+03 -.2013E+03   .9716282  .1603075 -.1738970
T    9  2 .3722788E+06   1848105E-03 -.3122E+03  .2910E+01   .9454588 -.3216103  .0517147
T   10  2 .3798545E+06   1847907E-03 -.1168E+03  .8190E+02   .9922911 -.1122096  .0526052
T   11  2 .3782721E+06   1854637E-03 -.1971E+02  .3792E+02   .9998833  .0112200 -.0103671
T   12  2 .3957399E+06   1847805E-03  .3085E+03  .8673E+02   .9298472  .3671323 -.0244548
T   13  2 .3750932E+06   1851652E-03  .1121E+03  .2347E+01   .9939419  .1099004 -.0012082
T   14  2 .3780392E+06   1852943E-03  .3174E+01  .2395E+03   .9569276  .0810102  .2787955
T   15  2 .3743277E+06   1852089E-03 -.8184E+02 -.1159E+02   .9896230 -.1405716 -.0297645
T   16  2 .3884955E+06   1848672E-03 -.1522E+03  .1212E+03   .9463485 -.1812715  .2675165
T   17  2 .3746711E+06   1853096E-03  .5220E+02 -.7018E+02   .9983885  .0406688 -.0395796
T   18  2 .3752109E+06   1854908E-03 -.2906E+03  .7089E+01   .9792593 -.2022489 -.0121078
T   19  2 .3822017E+06   1855197E-03  .5453E+02  .1939E+03   .9893836  .0659159  .1295193
T   20  2 .3842199E+06   1850413E-03 -.4078E+01  .4389E+02   .9974881  .0098411  .0701477
T   21  2 .3870534E+06   1859841E-03 -.7897E+02 -.4238E+02   .9963669 -.0755688 -.0392717
T   22  2 .3927143E+06   1850724E-03  .4080E+02 -.4763E+02   .9999816 -.0040317  .0045270
T   23  2 .3824453E+06   1846552E-03  .7301E+02 -.2408E+01   .9956176  .0860795 -.0365494
T   24  2 .3795592E+06   1848477E-03  .8392E+02 -.1282E+03   .9915316  .0682988 -.1104551
T   25  2 .3894291E+06   1854539E-03  .2392E+02  .2544E+02   .9927034 -.0755769 -.0939578
T   26  2 .3830855E+06   1847024E-03 -.1698E+03 -.7388E+02   .9507230 -.1916753 -.2436930
T   27  2 .3908284E+06   1847497E-03  .1808E+02  .6071E+02   .9600533  .1513262  .2353680
T   28  2 .3952610E+06   1853559E-03 -.1417E+03 -.3624E+01   .9918203 -.1271891  .0107482
T   29  2 .3727450E+06   1846240E-03 -.1057E+02 -.6533E+02   .9818081  .0515162 -.1827540
T   30  2 .3863268E+06   1848153E-03  .4413E+02  .1042E+03   .9986843  .0307514  .0410375
T   31  2 .3852415E+06   1854332E-03  .2154E+02  .9709E+02   .9694454 -.1601920  .1857801
T   32  2 .3923012E+06   1851779E-03 -.6795E+01  .3570E+02   .9991978  .0346122  .0201434
T   33  2 .3870941E+06   1849733E-03 -.6828E+02  .7541E+02   .9997816  .0088702  .0189211
T   34  2 .3799439E+06   1849920E-03  .8121E+02 -.3365E+01   .9910873  .1303079 -.0276750
T   35  2 .3780840E+06   1850441E-03  .2538E+03 -.2806E+02   .9802298  .1878515 -.0621400
T   36  2 .4011510E+06   1849204E-03 -.8196E+02  .2026E+02   .9958496 -.0886566 -.0205813
T   37  2 .3888032E+06   1852690E-03  .5648E+02 -.6951E+02   .9922815  .1077786 -.0613282
T   38  2 .3795331E+06   1849076E-03  .4501E+00 -.4483E+02   .9986825 -.0104547 -.0502392
