============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .4696779E+06   1848958E-03  .1690E+03  .4230E+02   .9947736  .0746439  .0696685
T    2  1 .4688455E+06   1858569E-03  .1359E+03  .1706E+02   .9969484  .0544429  .0559443
T    3  1 .4739346E+06   1855928E-03  .1747E+03 -.4158E+02   .9930722  .0938392 -.0707240
T    4  1 .4685000E+06   1846877E-03  .1473E+03 -.7519E+01   .9976498  .0151078 -.0668329
T    5  1 .4734554E+06   1860585E-03  .3851E+02  .8828E+02   .9879359 -.1511688  .0336251
T    6  1 .4671154E+06   1847746E-03  .6313E+02 -.4047E+02   .9966258  .0384660 -.0725077
T    7  1 .4666739E+06   1850918E-03  .1783E+03 -.2041E+02   .9914262  .1215499 -.0479551
T    8  1 .4742817E+06   1858229E-03  .1672E+03 -.2393E+01   .9928552  .1175169 -.0206951
T    9  1 .4653092E+06   1849497E-03  .8798E+02 -.3426E+02   .9968396 -.0488027 -.0626834
T   10  1 .4741533E+06   1855785E-03  .9273E+02  .3666E+02   .9964429  .0608990  .0582482
T   11  1 .4687355E+06   1856248E-03  .1674E+03  .7920E+02   .9733507  .0760784  .2163341
T   12  1 .4629337E+06   1854513E-03  .1687E+03  .2308E+02   .9969907  .0771210  .0078661
T   13  1 .4682817E+06   1849164E-03  .2446E+03  .8899E+02   .9512173  .2090613  .2268900
T   14  1 .4642990E+06   1856456E-03  .1731E+03 -.8420E+02   .9808284  .0813751 -.1770700
T   15  1 .4678212E+06   1852935E-03  .1777E+03 -.1334E+02   .9911882  .1318524 -.0126842
