============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1(  271 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 .4630183E+06   2710593E-04  .4838E+03 -.2092E+01   .4660535  .8847345 -.0062455
T    2  2 .4588068E+06   2722475E-04  .4646E+03  .1408E+02   .5145328  .8548060  .0675480
T    3  2 .4635789E+06   2715521E-04  .4972E+03 -.9368E+01   .4755989  .8789103 -.0363647
T    4  2 .4716488E+06   2711372E-04  .4607E+03 -.3816E+01   .5250787  .8499505 -.0433185
T    5  2 .4573000E+06   2711626E-04  .4490E+03 -.9963E+01   .5182995  .8498999  .0950565
T    6  2 .4589221E+06   2716769E-04  .4485E+03 -.1591E+01   .5536508  .8326518 -.0127175
T    7  2 .4612591E+06   2733417E-04  .4609E+03 -.1130E+02   .4978133  .8660858 -.0455773
T    8  2 .4598363E+06   2712694E-04  .4755E+03  .5551E+01   .5070985  .8606329  .0464987
T    9  2 .4649508E+06   2714401E-04  .5817E+03  .7937E+01   .3407144  .9360139  .0882703
T   10  2 .4704944E+06   2712341E-04  .4774E+03 -.1306E+01   .4959185  .8682959  .0112751
T   11  2 .4687267E+06   2710561E-04  .4644E+03  .6709E+00   .4848027  .8740850 -.0306881
T   12  2 .4631887E+06   2714226E-04  .4625E+03  .6392E+01   .5276837  .8489310  .0294289
T   13  2 .4589726E+06   2716052E-04  .4853E+03  .2764E+01   .4755140  .8797080  .0004184
T   14  2 .4724598E+06   2722668E-04  .4483E+03  .3127E+01   .5613488  .8275692 -.0040977
T   15  2 .4688501E+06   2725973E-04  .4782E+03 -.6052E+01   .4915910  .8704109 -.0268924
T   16  2 .4688456E+06   2716905E-04  .4973E+03  .3976E+01   .4724166  .8809883  .0261187
T   17  2 .4665991E+06   2715718E-04  .4736E+03  .2354E+00   .4629325  .8862882  .0136626
T   18  2 .4596674E+06   2715454E-04  .4616E+03  .1867E+01   .5401291  .8409636  .0322604
T   19  2 .4625776E+06   2719616E-04  .4981E+03 -.1588E+02   .4161563  .9088739 -.0276085
T   20  2 .4661338E+06   2715007E-04  .3782E+03  .5749E+01   .7031109  .7107665  .0211224
T   21  2 .4813033E+06   2716133E-04  .2144E+03  .3434E+02   .8879549  .4312632  .1598378
T   22  2 .4655915E+06   2723353E-04  .4551E+03  .1707E+01   .5287102  .8486950  .0135004
T   23  2 .4598009E+06   2720328E-04  .4720E+03  .3956E+01   .5020152  .8647728  .0121939
T   24  2 .4652065E+06   2713333E-04  .4978E+03 -.1506E+02   .4886665  .8722925 -.0176322
T   25  2 .4598975E+06   2721709E-04  .5028E+03  .3674E+01   .4920426  .8704580  .0140336
T   26  2 .4634368E+06   2718283E-04  .4934E+03 -.3405E+01   .4612063  .8872528 -.0084389
T   27  2 .4589510E+06   2723234E-04  .4676E+03  .6678E+01   .4031237  .9035785  .1450417
T   28  2 .4617654E+06   2711924E-04  .4649E+03 -.1977E+01   .5151488  .8570902 -.0042473
T   29  2 .4654109E+06   2731115E-04  .5039E+03 -.1823E+01   .4421113  .8968607 -.0133576
T   30  2 .4605371E+06   2728955E-04  .4774E+03 -.1657E+02   .4951852  .8686651 -.0145817
T   31  2 .4703891E+06   2730769E-04  .4810E+03  .4090E+01   .4970321  .8676984  .0076489
T   32  2 .4697392E+06   2713134E-04  .4898E+03  .1199E+02   .4471578  .8875387  .1110179
T   33  2 .4616583E+06   2713077E-04  .4770E+03  .1668E+02   .5150271  .8557841  .0487917
T   34  2 .4642916E+06   2715451E-04  .4248E+03  .6802E+01   .5400748  .8416165  .0009237
T   35  2 .4716179E+06   2714358E-04  .4808E+03 -.7338E+00   .4804571  .8754742 -.0520190
T   36  2 .4635818E+06   2731669E-04  .4538E+03 -.3484E+01   .5927714  .8053219  .0088705
T   37  2 .4618032E+06   2727118E-04  .4740E+03 -.2761E+01   .5026994  .8644370 -.0064730
T   38  2 .4614130E+06   2724216E-04  .4935E+03 -.4461E+01   .4585109  .8886078 -.0119939
T   39  2 .4761053E+06   2715565E-04  .4618E+03  .2026E+01   .5349487  .8447759  .0135502
T   40  2 .4616769E+06   2717333E-04  .4662E+03 -.1087E+02   .5061789  .8606376 -.0555506
T   41  2 .4628105E+06   2712418E-04  .4991E+03  .7776E+01   .4356636  .8997879 -.0240599
T   42  2 .4703105E+06   2719794E-04  .5240E+03 -.1668E+02   .4040974  .9128383 -.0585793
T   43  2 .4647756E+06   2716163E-04  .4739E+03  .1788E+02   .4963464  .8651447  .0718673
T   44  2 .4584429E+06   2720222E-04  .5017E+03 -.3338E+02   .4707192  .8761313 -.1040064
T   45  2 .4620451E+06   2720397E-04  .4374E+03  .3690E+01   .5805914  .8140149  .0171283
T   46  2 .4642624E+06   2726372E-04  .4919E+03  .2992E+01   .4981838  .8669500 -.0145108
T   47  2 .4601569E+06   2712283E-04  .4904E+03  .7379E+01   .4680292  .8827624  .0409777
T   48  2 .4654998E+06   2715708E-04  .5204E+03  .6433E+01   .4579421  .8889800  .0018928
T   49  2 .4646782E+06   2713137E-04  .4849E+03  .2676E+01   .4886316  .8724686  .0061306
T   50  2 .4600210E+06   2718636E-04  .4740E+03  .3042E+01   .4899801  .8711347  .0323072
T   51  2 .4644001E+06   2712107E-04  .4659E+03 -.3175E+01   .5091389  .8605221 -.0167124
T   52  2 .4694202E+06   2721343E-04  .4845E+03  .2616E+01   .5025743  .8609549 -.0785860
T   53  2 .4653737E+06   2722073E-04  .4799E+03 -.3682E+01   .5066906  .8619685 -.0165830
T   54  2 .4708032E+06   2720385E-04  .4732E+03 -.2465E+01   .4999197  .8660615 -.0042157
T   55  2 .4595809E+06   2717941E-04  .4906E+03  .4962E+01   .4340055  .9006045  .0234706
T   56  2 .4703105E+06   2717485E-04  .4728E+03  .9432E+01   .5097978  .8589053  .0488671
T   57  2 .4582534E+06   2721864E-04  .4535E+03 -.5836E+01   .5231237  .8520315 -.0195925
T   58  2 .4594360E+06   2710025E-04  .4684E+03 -.2429E+01   .5029210  .8635766 -.0361382
T   59  2 .4607429E+06   2716469E-04  .4668E+03 -.2718E+01   .4985467  .8666602  .0187433
T   60  2 .4645288E+06   2717680E-04  .4773E+03  .1154E+02   .4791728  .8773004  .0271556
T   61  2 .4653263E+06   2719032E-04  .5375E+03 -.6448E+02   .4032063  .8992954 -.1693885
T   62  2 .4577385E+06   2722971E-04  .4910E+03  .2029E+01   .4942228  .8691176  .0194519
T   63  2 .4739661E+06   2716928E-04  .4738E+03 -.3634E+02   .4764604  .8743828 -.0918700
T   64  2 .4583991E+06   2716199E-04  .4564E+03 -.4318E+02   .5058870  .8490317 -.1523927
T   65  2 .4645350E+06   2710414E-04  .4666E+03  .4062E+02   .4919040  .8626043  .1180860
T   66  2 .4724241E+06   2714953E-04  .4846E+03 -.4903E+01   .4785111  .8778109 -.0217975
T   67  2 .4610364E+06   2721888E-04  .4610E+03 -.7807E+01   .5299831  .8474619 -.0304361
T   68  2 .4544604E+06   2721908E-04  .4748E+03 -.7109E+01   .5089342  .8607955  .0041268
T   69  2 .4598513E+06   2720921E-04  .4690E+03 -.1295E+01   .4915993  .8670893 -.0805369
T   70  2 .4549884E+06   2726104E-04  .4749E+03 -.4207E+01   .5671479  .8138749 -.1262969
T   71  2 .4665940E+06   2713806E-04  .4748E+03  .8363E+00   .5483401  .8362153 -.0081927
T   72  2 .4545252E+06   2716795E-04  .5864E+03 -.7726E+02   .2837630  .9224993 -.2616747
T   73  2 .4637687E+06   2720751E-04  .4790E+03 -.2929E+01   .4883992  .8724529 -.0170912
